	Acartia-tonsa_adults_SR	Amphibalanus-amphitrite_larva_ou	Calanoides-carinatus_active-pop_BL	Calanus-hyperboreus_female_AF	Eucalanus-hyalinus_high-oxygen_CA	Eucyclops-serrulatus__SR	Eurytemora-affinis_adults_fr	Labidocera-madurae_femalesPooled_SR	Lernaea-cyprinacea_hote_SR	Lsalmonis_female_SR	Metridia-longa_female_AU	Nannocalanus-minor__BY	Neocalanus-flemingeri_pooledFemales_SR	Onana_female_in	Osimilis_female_in	Paracyclopina-nana_SRR1664735_Tr	Penaeus-aztecus_10Hepatopancreas_ou	Pleuromamma-robusta__BU	Pseudocalanus-sp_female_BE	Pseudodiaptomus-annandalei_1ind_SR	Tigriopus-japonicus_SRR1784985_Tr	Tigripus-kingsejongensis_SRR2034718_Tr	Tracheliastes-polycolpus_female_le
PF03959.14	59	5	12	10	50	65	23	21	11	14	20	32	2	9	9	10	12	48	30	28	37	39	76
PF02225.23	27	34	68	110	74	38	59	34	107	9	31	22	41	32	31	55	40	24	44	18	119	86	33
PF03828.20	17	64	114	41	41	113	61	50	19	94	49	86	48	48	30	35	70	186	142	73	37	68	57
PF01909.24	19	21	68	16	97	68	29	65	47	13	90	46	61	12	17	24	145	8	28	17	3	4	22
PF19088.1	57	90	136	119	37	89	47	52	16	18	28	33	32	108	62	251	100	44	48	38	26	16	27
PF17751.2	4	3	7	16	60	115	13	33	50	86	13	39	6	4	5	18	46	2	14	55	124	49	67
PF03372.24	118	536	212	166	122	241	195	292	128	93	164	47	96	80	83	304	134	120	175	216	212	57	38
PF10363.10	37	29	79	66	438	2	172	22	62	42	6	77	3	20	18	18	4	5	20	118	84	4	28
PF00120.25	8	21	76	28	28	21	10	17	25	12	9	7	58	10	10	24	24	5	15	10	24	2	1
PF03951.20	15	18	49	24	21	33	15	17	20	11	9	4	36	8	5	13	22	4	73	18	21	2	3
PF00884.24	3	292	318	197	105	68	109	127	100	79	188	88	122	75	70	143	155	179	176	158	147	162	13
PF01663.23	15	204	195	75	50	65	92	108	51	134	62	27	33	32	47	311	116	38	117	141	174	88	61
PF15950.6	9	80	22	40	0	0	22	75	56	10	0	0	0	0	0	69	2	0	24	53	96	0	10
PF11229.9	3	7	0	0	4	56	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PF12530.9	1	20	7	15	5	11	3	3	1	9	1	6	260	2	2	6	9	8	4	8	55	1	6
PF01728.20	22	87	43	32	85	74	41	61	70	8	67	29	44	43	55	84	19	28	38	153	20	29	9
PF08659.11	284	908	755	624	480	830	649	577	356	222	506	311	359	485	439	623	434	659	590	783	811	409	159
PF03764.19	7	21	12	23	8	40	12	26	39	11	9	16	17	7	9	30	24	16	13	28	13	7	10
PF12832.8	14	233	184	133	124	240	121	353	158	8	79	51	139	43	84	141	91	84	70	94	186	55	45
PF03825.17	7	12	16	9	33	34	54	158	10	0	8	1	0	15	15	9	34	6	14	80	40	8	24
PF02786.18	44	27	29	10	9	55	9	28	33	17	20	5	10	21	21	29	26	16	8	38	85	12	8
PF02436.19	2	6	14	11	1	9	2	3	6	6	4	1	2	2	2	3	3	2	1	2	7	3	1
PF02785.20	10	30	8	4	9	48	14	8	14	17	7	3	5	12	12	10	25	9	7	25	37	14	8
PF07478.14	10	20	40	11	8	76	19	14	11	94	9	37	15	49	49	47	17	18	28	50	50	46	6
PF02222.23	23	78	37	22	15	75	18	24	25	15	55	32	24	19	12	32	65	15	21	72	121	8	16
PF03194.16	89	102	44	33	25	49	57	84	52	55	50	42	73	46	64	185	91	63	62	32	66	46	7
PF07774.14	8	9	11	9	4	6	6	50	4	18	1	4	4	2	2	2	2	0	1	22	3	4	9
PF00335.21	72	590	781	932	410	556	332	585	415	88	428	277	381	332	247	478	106	392	373	569	362	334	115
PF03723.15	16	0	16	57	2	0	127	98	0	0	16	6	32	0	0	0	82	12	8	86	0	0	0
PF00372.20	11	0	76	111	4	0	107	36	0	0	11	21	61	0	0	0	56	4	17	186	0	0	0
PF00264.21	14	0	207	171	77	0	122	53	0	0	74	37	47	0	0	0	40	6	35	51	0	0	0
PF00125.25	253	105	312	431	234	453	250	147	313	66	442	285	515	177	175	232	91	473	308	196	221	90	82
PF16211.6	24	20	234	33	21	45	7	28	50	7	86	33	125	13	9	10	8	45	83	40	14	20	27
PF00808.24	124	224	170	151	183	285	78	133	249	154	88	96	230	147	90	131	80	121	188	331	120	218	117
PF07064.14	4	0	18	4	2	4	13	16	4	12	6	6	12	24	6	18	7	6	9	12	6	9	14
PF09797.10	8	19	17	18	6	42	56	21	7	3	8	4	2	12	12	7	27	2	2	33	2	2	28
PF03704.18	41	0	0	56	5	4	147	24	91	66	0	0	279	0	0	148	65	0	0	0	0	36	0
PF05063.15	26	31	20	9	12	99	17	16	7	8	11	8	11	13	15	28	11	11	7	14	97	11	16
PF00011.22	127	107	222	308	84	231	101	212	122	77	286	97	168	123	106	111	143	148	143	242	133	84	52
PF17886.2	2	0	69	73	25	21	70	14	82	20	95	124	75	22	16	6	22	20	113	25	169	34	17
PF18692.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF13473.7	4	0	27	45	15	0	0	0	0	0	75	6	15	0	0	0	0	8	0	60	0	0	9
PF01534.18	15	81	30	33	6	12	5	6	13	3	11	14	9	8	11	10	28	14	9	63	42	3	10
PF01392.23	41	129	42	36	51	35	24	46	48	29	52	16	48	41	29	107	30	17	67	102	64	19	28
PF00410.20	1	38	15	49	3	23	1	48	16	2	3	20	18	5	5	2	1	2	7	23	4	21	20
PF08069.13	1	4	2	3	9	18	2	3	12	1	2	4	1	2	2	1	3	2	1	11	2	4	1
PF00312.23	8	16	14	15	8	49	6	22	91	4	14	15	6	11	10	15	23	11	6	46	5	13	4
PF08075.12	11	27	4	6	16	104	30	50	24	8	29	6	12	19	20	166	250	38	14	57	60	5	7
PF02965.18	2	0	2	3	1	10	7	4	10	0	4	1	1	1	1	58	5	1	1	2	12	1	0
PF02574.17	18	75	37	24	38	37	24	30	15	2	52	59	23	43	60	56	112	48	135	13	12	4	2
PF00809.23	4	0	3	2	2	22	7	4	3	0	1	2	2	6	2	36	3	2	2	2	26	3	0
PF02607.18	4	0	5	2	1	7	5	4	6	0	1	1	1	2	2	36	1	2	1	1	11	1	0
PF02310.20	27	1	14	29	3	22	62	19	10	1	5	20	5	2	2	40	7	8	9	10	52	18	2
PF14796.7	23	2	1	39	7	54	4	2	18	1	1	1	4	2	2	1	0	7	12	6	2	192	2
PF09138.12	2	16	0	0	0	7	3	0	7	1	9	2	0	4	3	6	0	4	3	16	2	1	2
PF00211.21	19	251	141	75	56	30	96	111	73	64	74	13	29	92	84	275	79	47	143	168	235	40	69
PF01094.29	5	152	145	144	124	69	100	93	80	42	136	67	29	101	105	301	26	41	72	105	439	231	70
PF01776.18	2	17	6	3	1	22	2	9	33	2	10	2	1	16	113	2	15	6	1	21	2	7	2
PF00561.21	216	502	500	533	281	290	606	372	318	147	450	314	255	202	409	431	154	537	528	616	333	299	153
PF12697.8	222	290	484	529	307	604	425	404	323	181	230	141	479	189	297	837	182	301	594	333	272	201	127
PF00975.21	2	0	0	0	4	0	6	4	14	9	10	0	0	0	0	0	1	0	0	0	0	0	0
PF05057.15	57	198	1	2	11	2	18	10	6	0	0	12	2	5	5	19	7	11	3	21	12	2	0
PF15679.6	2	0	0	1	145	27	3	3	0	2	4	2	3	0	0	7	10	1	2	5	2	7	0
PF03061.23	12	53	2	18	3	37	17	16	6	3	21	20	38	10	5	34	24	14	11	50	2	10	12
PF04189.14	26	57	3	4	10	23	9	8	8	1	2	7	3	3	3	2	2	5	6	19	2	4	8
PF13279.7	7	37	11	2	15	10	4	18	10	7	10	0	8	12	5	36	2	6	6	13	7	7	0
PF08514.12	12	16	8	0	12	74	28	24	15	3	6	13	37	9	9	123	28	6	12	12	12	3	9
PF16183.6	14	187	21	192	90	53	72	68	34	23	111	12	20	108	108	398	49	0	85	38	102	16	22
PF12423.9	2	54	65	16	9	27	16	36	36	10	2	5	0	63	75	154	21	10	5	88	23	38	23
PF01687.18	2	7	3	1	3	9	1	9	28	2	7	1	2	6	6	15	4	1	1	1	3	2	7
PF02146.18	101	193	128	138	55	265	95	143	51	23	101	36	50	33	81	46	156	45	184	96	73	41	47
PF07817.14	4	28	6	3	5	45	4	5	4	1	4	36	16	3	3	4	24	2	2	10	2	1	8
PF00155.22	37	294	157	142	146	205	133	172	244	133	232	167	145	107	108	228	136	72	123	200	114	174	89
PF01595.21	13	4	67	52	55	18	9	12	23	7	12	8	21	12	9	9	6	32	20	23	36	7	3
PF00173.29	19	63	81	36	108	55	31	43	35	16	36	61	19	28	30	78	37	50	38	42	70	57	16
PF11496.9	88	32	4	53	24	59	41	15	31	17	54	12	11	20	36	17	17	54	29	166	30	14	4
PF01871.18	12	8	2	2	1	12	4	22	5	4	10	4	2	4	4	1	11	7	11	6	2	3	2
PF02214.23	216	107	217	142	280	151	134	235	97	27	247	107	121	122	91	274	23	361	203	189	167	55	164
PF12130.9	7	172	29	81	8	79	12	30	29	8	4	23	62	10	23	12	41	12	29	12	15	24	5
PF11971.9	68	246	168	304	116	360	361	186	1849	295	480	83	134	187	216	936	159	374	239	322	1104	159	214
PF00782.21	173	389	774	748	500	535	614	472	389	184	628	198	302	259	391	496	289	367	350	532	539	191	132
PF03224.15	8	21	7	2	2	25	6	18	9	20	4	2	2	3	3	8	6	1	12	41	38	2	2
PF11698.9	12	39	11	3	3	29	30	32	62	38	8	3	3	16	40	36	47	4	33	35	240	96	20
PF04826.14	155	10	48	104	153	265	258	103	18	135	266	236	65	287	228	138	39	39	79	130	202	86	29
PF00514.24	280	1674	570	629	365	1593	520	1372	1994	358	496	213	154	514	487	1557	949	326	1215	925	1911	1052	200
PF04178.13	35	37	74	26	53	95	22	71	26	20	31	26	38	10	26	63	0	34	41	60	11	8	7
PF09779.10	12	4	17	0	7	45	1	4	2	4	12	13	5	24	47	6	6	10	0	7	3	1	24
PF13350.7	51	0	91	80	21	14	29	16	46	2	54	0	5	41	32	0	32	34	26	42	20	8	7
PF01064.24	59	34	218	104	77	13	10	2	37	38	23	9	10	14	17	102	42	6	44	69	27	11	13
PF08515.13	23	109	54	32	24	147	51	30	73	8	2	28	12	19	16	19	17	5	38	74	15	35	32
PF08628.13	8	10	23	15	3	41	2	8	7	12	41	8	0	9	14	10	26	12	8	35	11	10	3
PF00787.25	109	416	411	329	196	415	182	226	546	144	190	69	229	106	133	272	146	277	168	250	212	116	159
PF00615.20	102	131	126	144	108	128	196	120	220	92	181	48	43	118	121	249	83	79	133	178	112	44	74
PF02194.16	14	53	8	8	4	20	18	14	19	15	12	1	13	23	22	27	29	12	9	13	23	18	5
PF14222.7	2	1	0	8	3	4	25	8	5	2	2	1	3	4	4	20	5	4	1	11	16	0	7
PF14228.7	8	5	8	47	60	8	100	80	10	9	5	28	26	17	18	112	40	25	152	20	154	13	53
PF10288.10	3	40	14	6	6	42	3	4	2	11	4	16	1	6	6	50	2	10	4	18	16	9	8
PF00580.22	48	0	88	113	37	194	0	40	105	46	45	20	70	29	35	264	4	5	201	4	3	35	0
PF05118.16	8	10	71	21	40	101	12	8	11	66	9	0	0	12	12	127	30	0	19	2	29	27	12
PF00855.18	75	224	325	330	312	369	337	295	89	130	544	133	192	86	87	114	85	795	253	173	161	69	244
PF05916.12	12	11	5	3	7	33	4	20	7	0	6	5	8	12	14	30	5	10	23	20	8	2	2
PF04923.13	11	99	96	136	19	2	23	44	12	20	109	11	33	76	130	29	5	45	43	21	16	26	10
PF00515.29	904	1938	1345	1030	1581	2743	1677	1864	1353	1021	1507	587	1121	1615	1414	4281	1557	1529	1451	1688	1586	940	693
PF13414.7	689	1944	1010	511	650	1605	849	856	1169	511	537	405	385	1210	1178	1632	1029	881	455	1148	838	522	696
PF13176.7	512	3042	678	817	629	1961	952	760	1090	516	1147	193	438	750	750	3811	606	782	793	2270	1025	1369	1149
PF11789.9	126	79	37	99	19	54	163	108	0	1	50	55	59	4	4	17	7	109	48	59	18	25	22
PF01834.17	128	4	6	17	4	28	6	24	2	21	11	12	9	27	42	7	20	40	4	23	2	1	17
PF02535.23	217	257	506	249	256	636	298	312	162	250	188	182	244	220	226	347	184	308	320	652	121	206	151
PF04997.13	13	13	3	4	9	45	8	16	23	4	47	3	3	6	6	11	16	2	4	5	7	6	5
PF00623.21	28	12	6	11	12	27	9	6	16	4	4	5	5	6	5	10	16	3	3	16	7	3	4
PF04998.18	18	31	12	18	8	36	7	7	22	3	8	3	22	5	4	6	10	13	7	25	5	3	5
PF04983.19	23	9	12	4	14	11	6	4	18	9	6	4	4	13	8	8	12	2	19	6	5	10	5
PF05000.18	16	20	14	11	16	33	9	8	31	18	7	9	5	12	8	11	23	6	24	26	7	6	14
PF06957.12	2	8	5	19	16	36	2	2	11	3	1	3	40	3	12	2	14	1	1	10	1	3	4
PF10260.10	1	6	3	46	2	7	3	14	1	1	1	3	15	15	6	2	6	1	3	3	1	1	2
PF12253.9	54	27	9	60	30	82	28	20	8	13	204	19	46	16	16	25	75	7	35	7	36	4	2
PF01597.20	5	9	5	4	8	38	15	6	7	2	12	5	47	6	2	5	2	14	5	54	30	4	7
PF00567.25	310	608	1137	398	1024	858	586	336	129	82	1699	1067	1241	330	302	154	48	1588	681	316	238	157	40
PF06003.13	234	209	395	269	592	400	221	115	70	30	754	300	561	24	24	69	8	601	189	327	33	46	9
PF07039.12	89	38	28	17	56	63	52	40	8	8	124	45	69	37	36	32	0	80	34	84	13	126	13
PF05641.13	263	61	92	117	36	8	277	83	8	15	505	401	59	2	2	2	36	1023	0	22	2	2	40
PF00780.23	26	26	19	15	59	45	126	45	60	19	39	43	18	42	31	164	23	20	46	34	50	29	32
PF01853.19	45	47	12	17	7	41	19	11	18	11	17	13	6	12	12	12	34	22	6	19	11	11	18
PF17772.2	79	60	195	10	20	130	124	101	95	36	1181	11	139	210	228	15	81	602	263	363	28	14	36
PF01553.22	32	76	169	145	82	104	76	61	59	16	133	70	103	267	54	137	66	151	61	85	170	40	30
PF16076.6	33	41	36	25	7	67	10	17	13	4	8	17	8	10	14	21	11	21	25	49	48	10	2
PF12148.9	17	13	6	3	5	0	6	19	0	1	6	5	5	0	0	0	2	25	9	3	0	0	0
PF02182.18	3	33	10	17	4	21	32	17	0	1	5	63	2	6	16	2	1	7	9	2	3	2	0
PF13174.7	385	1612	805	482	470	1919	1485	1217	960	346	479	408	443	1014	957	965	314	822	746	1201	652	215	339
PF13374.7	251	622	344	231	467	1105	467	432	583	449	629	99	204	422	456	398	633	623	789	789	2125	633	567
PF12895.8	576	531	840	416	1312	1731	592	2117	479	282	1089	434	448	996	756	920	1726	1094	709	2008	434	337	235
PF05871.13	6	2	2	6	1	6	2	10	10	1	2	1	77	1	1	2	6	2	2	13	1	1	1
PF15227.7	47	354	95	101	169	382	118	332	181	96	109	30	112	68	61	258	309	175	42	223	62	160	17
PF12416.9	16	39	1	0	42	33	2	12	18	0	2	9	2	12	18	6	2	14	0	8	31	6	69
PF05327.12	20	2	3	4	7	41	16	12	13	3	6	6	28	24	28	17	1	9	31	12	4	4	8
PF00939.20	3	6	20	23	17	22	31	16	15	4	10	13	8	7	6	55	8	10	30	39	19	7	8
PF03600.17	18	22	285	95	100	66	86	63	69	15	75	16	14	47	42	343	19	9	119	128	43	46	25
PF00805.23	4	11	38	4	32	12	62	8	19	4	1110	247	8	7	7	0	4	665	26	24	8	4	5
PF13599.7	2	18	69	103	36	9	33	7	7	3	434	12	6	6	6	0	7	27	209	22	6	3	3
PF13576.7	5	26	8	5	5	11	4	6	76	4	8	16	8	5	11	0	16	48	25	88	8	16	16
PF16017.6	53	22	24	29	31	15	66	78	10	4	12	16	62	4	3	3	51	79	102	34	10	30	4
PF16414.6	7	395	12	1	3	7	3	3	9	14	4	5	1	3	9	25	19	2	13	3	14	7	7
PF10537.10	1	35	1	4	5	80	2	3	3	4	5	1	14	4	4	2	10	3	5	6	2	0	8
PF15613.7	33	82	41	21	8	71	37	55	100	25	5	8	39	127	137	218	80	3	48	28	76	8	24
PF02791.18	14	21	35	13	21	12	9	10	54	34	61	26	85	57	77	15	17	0	3	66	29	5	28
PF13620.7	50	121	312	262	282	118	212	96	154	22	287	154	99	284	168	108	35	372	294	126	62	47	19
PF17210.4	12	19	168	16	69	35	63	42	9	8	99	9	9	9	9	9	18	52	27	44	0	0	9
PF13715.7	27	51	220	90	118	271	98	51	30	13	177	63	11	14	14	33	31	357	59	48	23	6	29
PF09430.11	18	26	11	20	15	79	70	48	13	13	21	10	11	9	9	25	12	20	28	130	2	6	10
PF17802.2	10	102	112	296	46	34	504	404	8	6	79	20	72	12	8	8	16	442	24	113	0	0	5
PF14686.7	42	54	0	0	28	0	0	0	25	36	12	35	0	35	50	0	16	14	196	218	0	0	0
PF10670.10	56	0	36	83	39	9	0	0	0	0	134	44	0	0	0	0	288	119	16	0	0	0	0
PF01432.21	31	68	27	22	28	65	8	28	33	9	31	27	27	12	19	16	8	26	61	31	32	14	7
PF10197.10	112	17	65	56	51	44	94	76	35	18	44	60	26	115	135	18	36	126	15	33	13	13	18
PF10249.10	2	7	1	2	2	17	54	5	46	5	2	31	2	10	16	6	3	1	1	6	3	3	4
PF00620.28	165	229	382	420	183	423	211	286	343	208	171	119	178	231	193	1705	253	129	221	297	401	378	187
PF00611.24	215	270	343	263	133	1363	308	233	543	314	85	62	293	375	627	1851	524	141	353	226	967	102	189
PF02141.22	9	33	7	5	7	46	18	17	47	77	13	17	4	11	11	51	18	7	8	8	72	24	10
PF03455.20	14	60	18	34	25	72	12	15	75	46	7	12	4	4	3	17	8	5	6	42	27	53	64
PF03456.19	13	65	12	6	21	73	26	31	22	137	19	13	8	16	14	117	29	14	9	14	75	0	76
PF04845.14	19	14	25	17	17	76	14	17	9	32	45	20	24	9	2	5	8	48	10	28	2	6	5
PF00152.21	19	44	49	13	16	61	12	46	69	14	21	10	40	16	16	15	31	14	23	45	26	12	16
PF01336.26	47	51	70	95	60	170	39	29	115	50	125	36	52	144	117	113	55	126	41	83	126	106	40
PF01409.21	81	42	36	33	35	133	17	50	44	23	47	19	15	19	13	38	35	19	23	15	49	23	17
PF00795.23	8	24	23	4	20	46	23	17	17	10	33	20	20	16	11	25	31	18	5	57	16	16	28
PF02540.18	7	8	7	32	5	73	60	23	5	15	8	18	7	5	5	22	61	11	33	36	4	3	13
PF16759.6	86	3	29	26	64	69	151	33	26	51	20	55	17	50	56	68	112	59	2	146	39	9	24
PF00237.20	9	31	9	4	3	45	7	14	23	21	68	7	3	11	10	17	8	11	12	24	2	11	10
PF02453.18	10	0	103	69	65	67	31	80	70	10	35	55	66	20	11	41	21	30	81	53	40	10	3
PF02466.20	22	34	35	11	34	62	18	24	35	29	13	9	12	9	7	17	29	40	17	26	31	38	8
PF09045.11	4	0	0	0	9	4	12	4	2	0	0	0	10	0	0	0	6	0	0	5	0	0	0
PF05743.14	5	24	23	11	7	68	1	2	10	133	9	3	7	8	5	115	16	9	12	50	8	2	3
PF09454.11	152	160	52	103	89	129	42	68	112	53	145	44	42	44	26	10	9	85	108	2	76	23	10
PF07973.15	20	33	23	19	14	92	55	35	42	5	14	21	11	7	8	63	15	5	11	34	73	18	5
PF01411.20	9	15	21	22	8	15	38	9	22	5	7	9	22	6	7	27	3	16	1	26	10	4	29
PF01073.20	74	33	82	63	67	79	57	19	61	27	50	13	94	25	22	101	16	45	20	51	46	52	26
PF02719.16	22	48	87	55	27	128	40	82	36	38	56	51	14	18	14	56	82	80	37	93	111	102	10
PF04321.18	10	51	94	33	42	71	20	42	44	71	10	26	14	15	13	27	56	14	24	32	111	84	38
PF17682.2	9	11	2	1	45	4	6	2	12	12	2	2	4	2	4	11	7	8	2	2	6	0	2
PF09734.10	4	4	1	2	1	10	8	1	2	16	1	1	2	3	6	4	8	10	2	1	2	0	1
PF12257.9	18	10	6	0	1	5	3	10	15	3	5	4	7	8	8	2	14	4	3	2	1	9	1
PF00752.18	10	6	20	2	23	128	26	19	6	4	6	7	19	18	27	21	9	45	11	29	26	7	15
PF00867.19	36	51	25	4	60	124	75	28	29	8	25	43	43	39	102	61	28	63	21	43	21	45	27
PF06220.13	263	16	206	48	138	117	175	211	25	34	542	6	73	12	14	43	10	427	4	200	36	5	8
PF14593.7	4	19	146	182	5	68	15	4	56	11	3	16	48	1	1	24	74	26	13	19	4	7	3
PF03299.15	13	15	31	15	84	32	27	26	5	1	25	0	0	6	11	10	17	0	49	25	4	4	1
PF00181.24	6	13	12	4	7	33	17	8	19	6	7	5	4	5	3	22	6	54	13	16	4	7	6
PF03947.19	3	5	8	2	7	31	7	7	15	4	8	5	15	2	2	12	8	10	4	13	4	11	3
PF05010.15	42	123	175	252	55	436	30	244	85	49	39	152	330	76	89	60	46	56	64	95	32	87	26
PF13307.7	15	33	21	18	69	40	32	19	6	19	5	22	11	11	13	20	8	10	34	14	11	7	13
PF06733.16	20	22	104	4	23	102	66	72	22	14	20	33	25	20	39	45	15	17	16	90	26	14	34
PF05461.12	66	0	82	110	43	73	67	60	39	0	47	3	14	13	33	54	0	15	31	21	111	51	10
PF05965.15	6	12	6	9	18	14	4	5	10	10	3	3	7	4	4	5	7	8	4	5	3	5	2
PF05964.15	10	30	4	3	3	4	9	3	4	9	5	2	2	3	3	4	11	12	1	2	2	1	2
PF03399.17	3	41	7	8	15	22	23	12	13	36	7	11	11	36	36	18	14	5	6	11	64	24	21
PF16769.6	2	21	57	3	1	59	135	16	3	1	1	2	1	5	5	6	6	2	7	6	8	27	0
PF02145.16	19	240	99	47	46	70	39	63	35	132	30	9	18	47	54	87	290	47	34	37	45	8	61
PF07686.18	408	5539	4332	3991	2340	2857	3239	3714	3669	1745	2143	876	2441	2672	2670	10234	1927	786	3324	5638	6758	1556	1954
PF08205.13	474	2512	2167	1619	849	874	1365	1903	1568	1143	893	472	538	1484	1528	5081	1172	500	1365	2604	2300	741	1218
PF16681.6	173	409	1147	687	593	320	584	552	679	259	477	114	458	285	203	1568	230	431	587	939	2903	502	298
PF16680.6	134	480	1222	904	488	694	993	1075	831	773	498	75	402	408	354	2387	236	363	750	973	2021	121	376
PF07654.16	134	949	1038	1250	300	437	863	617	746	778	523	137	137	270	359	3931	330	271	365	444	1390	129	407
PF13901.7	13	145	35	27	49	145	42	110	56	41	11	12	10	47	63	47	18	46	16	113	34	30	28
PF07034.12	8	11	1	1	2	21	2	7	1	1	1	1	1	2	2	2	3	1	2	3	1	3	2
PF18137.2	27	22	16	12	8	2	14	48	57	0	6	6	4	14	14	2	8	6	8	24	3	2	8
PF06080.13	24	10	6	3	2	36	36	3	7	5	19	7	3	7	7	3	37	8	13	46	1	9	4
PF03796.16	4	42	1	2	23	72	5	4	1	14	10	47	1	6	4	3	0	2	18	2	22	1	1
PF17856.2	16	4	78	17	3	138	3	3	6	3	2	8	4	46	6	3	2	2	5	6	3	5	3
PF12719.8	22	9	46	4	16	109	40	3	27	66	2	31	17	26	38	42	167	1	28	16	38	126	2
PF01421.20	25	62	83	165	44	276	179	101	310	60	276	93	521	137	129	270	17	99	428	153	150	103	46
PF00200.24	17	55	47	50	62	93	78	37	151	18	35	256	8	21	24	85	36	45	15	77	90	32	26
PF08516.13	4	18	9	3	3	12	35	10	71	7	0	0	0	3	3	25	6	0	10	52	58	6	12
PF13688.7	77	64	168	201	105	301	245	102	282	45	186	83	87	124	120	303	24	61	158	182	209	53	75
PF01562.20	5	26	80	15	33	31	46	19	51	14	15	7	9	34	38	63	27	1	9	39	38	20	9
PF13582.7	82	52	154	332	29	548	394	275	333	66	207	82	39	134	146	459	21	63	535	100	320	55	88
PF13583.7	38	128	215	237	88	670	232	98	615	64	135	172	106	165	219	619	49	58	188	143	182	74	97
PF13574.7	37	82	66	117	24	267	106	87	203	53	57	34	68	133	125	377	16	17	172	82	77	35	47
PF03147.15	10	20	4	18	10	15	24	35	8	4	2	8	18	10	8	32	4	7	3	2	4	4	4
PF01423.23	74	131	50	46	52	169	84	64	81	33	109	59	75	83	119	41	39	75	76	226	49	39	54
PF10607.10	20	64	49	34	8	65	44	65	62	28	14	37	20	16	13	80	43	25	49	82	31	23	28
PF00622.29	83	179	81	78	94	201	187	309	290	151	170	41	78	103	99	244	188	253	85	203	151	88	45
PF08513.12	37	33	96	40	58	26	59	12	20	7	15	7	23	164	143	85	64	24	58	18	24	13	5
PF00432.22	135	325	73	118	265	321	295	243	143	56	66	72	76	58	68	303	55	106	90	216	67	55	40
PF11938.9	6	18	13	80	16	86	13	85	49	52	12	10	4	88	133	15	32	14	24	52	31	6	14
PF01230.24	23	109	10	17	13	34	20	20	38	9	20	35	14	25	11	34	40	40	5	23	19	9	10
PF11969.9	34	40	21	16	20	31	17	24	10	4	26	10	20	9	6	31	17	32	5	54	34	13	4
PF10500.10	14	103	47	4	59	92	109	77	103	34	28	29	53	126	109	24	155	24	28	88	46	22	95
PF00028.18	229	1790	396	521	478	675	573	564	1110	612	239	20	59	182	210	794	367	168	258	759	912	224	384
PF17756.2	75	94	78	139	116	139	251	430	144	114	18	10	6	19	19	180	42	10	105	186	96	4	45
PF01049.18	6	97	17	31	16	63	11	10	146	46	23	1	2	12	11	114	19	24	10	17	29	28	10
PF05071.17	3	13	4	5	3	9	19	4	15	3	26	28	9	10	10	20	3	2	72	10	5	8	2
PF00145.18	30	19	50	47	26	52	52	59	11	4	213	86	71	14	12	26	5	79	29	70	26	4	1
PF13738.7	180	112	475	413	113	411	254	123	145	156	204	120	269	201	203	339	200	252	135	156	319	175	70
PF03227.17	11	61	65	28	17	65	22	49	16	10	33	33	17	32	11	29	43	44	43	89	11	15	21
PF00685.28	107	452	268	241	250	101	72	117	57	97	148	174	167	61	61	225	214	90	124	92	200	178	31
PF13469.7	56	359	425	290	384	265	60	113	71	64	72	119	86	94	135	438	219	341	112	99	199	215	62
PF00903.26	90	95	47	35	24	66	13	28	36	15	16	11	137	161	144	120	6	33	22	54	24	49	8
PF18029.2	6	15	35	8	128	0	18	15	0	0	18	50	47	0	0	0	8	0	0	18	0	0	0
PF06417.13	1	7	4	6	1	6	2	4	2	3	5	3	1	3	1	1	1	3	1	3	6	4	1
PF11573.9	11	17	1	12	1	8	3	29	15	4	3	62	1	1	1	4	5	4	6	12	5	2	1
PF00538.20	34	190	317	386	309	230	130	209	124	52	299	135	480	54	52	17	93	183	358	249	236	57	13
PF00112.24	50	329	387	316	95	326	84	147	335	18	142	182	108	78	89	127	81	209	282	158	357	59	37
PF01549.25	93	29	130	240	77	27	166	552	45	107	697	187	128	4	4	83	41	477	831	132	44	137	85
PF08839.12	3	9	8	4	12	10	2	2	6	2	10	6	3	2	3	4	1	17	5	24	3	2	1
PF16679.6	6	12	17	12	15	52	24	13	6	1	21	39	10	1	34	0	4	10	11	112	20	4	2
PF03256.17	19	23	7	35	67	9	23	4	16	3	8	9	7	1	1	14	11	4	14	19	3	1	7
PF00664.24	61	174	190	150	113	218	87	101	112	64	213	89	58	61	53	241	107	332	123	199	174	71	57
PF00005.28	215	1242	682	529	448	956	686	715	568	208	485	377	603	468	436	1034	494	537	923	692	496	454	230
PF02567.17	3	11	21	13	6	5	13	3	2	3	88	1	2	5	11	1	4	2	14	8	18	15	3
PF10479.10	2	6	3	7	6	16	6	21	17	12	4	4	3	24	3	28	6	7	3	21	30	36	39
PF00108.24	15	72	39	13	11	53	19	22	81	21	16	20	12	22	16	29	11	18	22	30	19	18	9
PF02769.23	23	25	7	14	5	34	12	16	3	11	6	5	7	5	4	1	12	18	4	11	3	6	2
PF00586.25	8	56	21	27	7	88	18	37	9	52	88	13	19	4	2	2	49	10	6	9	16	20	8
