	Acartia-tonsa_adults_SR	Amphibalanus-amphitrite_larva_ou	Calanoides-carinatus_active-pop_BL	Calanus-hyperboreus_female_AF	Eucalanus-hyalinus_high-oxygen_CA	Eucyclops-serrulatus__SR	Eurytemora-affinis_adults_fr	Labidocera-madurae_femalesPooled_SR	Lernaea-cyprinacea_hote_SR	Lsalmonis_female_SR	Metridia-longa_female_AU	Nannocalanus-minor__BY	Neocalanus-flemingeri_pooledFemales_SR	Onana_female_in	Osimilis_female_in	Paracyclopina-nana_SRR1664735_Tr	Penaeus-aztecus_10Hepatopancreas_ou	Pleuromamma-robusta__BU	Pseudocalanus-sp_female_BE	Pseudodiaptomus-annandalei_1ind_SR	Tigriopus-japonicus_SRR1784985_Tr	Tigripus-kingsejongensis_SRR2034718_Tr	Tracheliastes-polycolpus_female_le
PF00533.27	254	276	229	95	339	293	273	139	129	118	194	305	88	117	140	111	138	390	126	361	161	78	98
PF00227.27	39	176	39	30	21	196	92	37	249	18	61	65	45	35	47	37	57	27	70	172	39	22	27
PF01207.18	38	115	61	64	20	119	37	40	31	66	33	21	97	54	67	85	89	38	18	77	43	46	66
PF00069.26	671	1904	1757	1804	1207	2333	1483	1313	2051	830	1568	819	1070	789	883	2457	1184	1080	1176	1743	2137	889	799
PF07714.18	1179	3403	2910	2517	1791	4508	2425	2429	3069	1652	2217	1297	2000	1521	1662	4796	1833	2073	2019	3336	3205	1484	1366
PF12874.8	41294	13505	9382	8650	7866	11899	10744	13557	4210	2516	26587	11413	8776	12417	11306	13844	5529	19301	18813	45892	9260	4810	3371
PF15909.6	2419	1384	752	542	598	138	1003	411	120	343	1724	551	933	2219	1781	1599	622	949	549	3245	219	294	234
PF05605.13	7085	5576	5181	5278	5762	5512	7483	5087	2487	2524	8798	5168	6444	7691	8349	6737	2702	10644	11573	20186	3410	1548	1640
PF09746.10	21	4	12	33	4	30	8	6	3	5	18	6	8	63	6	20	64	22	15	70	6	7	1
PF00651.32	1810	1538	5010	4219	3619	3651	2019	1828	943	882	3780	6291	5114	1063	1034	2199	1036	7915	15094	2663	2254	820	861
PF00917.27	121	105	21	61	31	103	67	156	12	16	110	18	42	14	6	16	66	88	61	67	100	54	20
PF14629.7	5	0	1	1	1	11	1	2	2	5	1	2	1	1	1	1	1	1	1	1	6	3	4
PF13191.7	634	2346	685	984	950	2585	1299	1081	1549	447	831	768	1978	357	1027	1126	1135	837	690	1227	1098	496	673
PF00004.30	668	1383	621	832	650	1540	674	647	823	337	649	308	547	530	720	2012	577	590	576	931	967	462	337
PF01637.19	57	0	93	7	62	4	868	0	96	3	17	61	3	46	46	1108	2	18	65	186	16	9	10
PF00400.33	3462	9605	5311	4681	3635	11022	5993	7115	6023	2960	3780	2704	3516	4158	3911	10344	4549	4410	3854	7696	8113	4153	3010
PF12894.8	3022	5910	2800	2799	2858	7816	4411	4463	4911	2727	3305	1823	2166	3127	2772	7353	2646	4104	3454	5024	4485	2865	2704
PF04300.14	5	0	2	1	1	1	5	6	18	0	2	0	1	1	1	4	1	6	0	11	3	3	0
PF12937.8	234	495	801	709	454	527	724	762	288	115	1061	387	765	538	484	605	250	1039	804	675	339	206	168
PF00646.34	486	877	1431	564	567	724	605	974	243	204	818	659	968	1045	1085	550	440	1692	489	748	529	332	192
PF13857.7	1236	3748	4219	3882	2745	4390	3295	4395	1503	1549	4409	2719	2187	12416	11375	7781	4162	5364	3203	4719	5241	1741	1445
PF12796.8	896	1811	2186	2021	1489	2320	1798	1939	914	837	1802	1094	991	5080	5100	4380	2511	1710	1912	2477	2893	1029	896
PF13637.7	1094	2649	3046	3322	2262	3397	3083	3016	1401	1176	2497	1954	1540	7442	7436	5728	3891	3324	2648	3738	3658	1580	1239
PF00023.31	2190	6228	4237	4169	3503	5839	3325	3640	1736	1752	4191	3031	1785	12310	12105	6968	6218	5787	5882	4635	4361	1861	1960
PF13606.7	2474	3805	4703	5882	3726	7294	4752	6459	1863	1436	4586	3028	2376	11722	12001	8797	7106	6558	4505	6185	6787	2306	2011
